"","scaffold","start_position","end_position","length","exon_length","biotype","go_terms"
"ENSG00000006059","17",41346092,41350812,4721,4721,"protein_coding","cytosol|structural molecule activity|extracellular space|keratinization|cornification|intermediate filament"
"ENSG00000006062","17",45263121,45317040,53920,53920,"protein_coding","protein binding|nucleus|cytoplasm|cytosol|nucleotide binding|ATP binding|transferase activity|kinase activity|phosphorylation|intracellular membrane-bounded organelle|protein kinase activity|protein serine/threonine kinase activity|protein phosphorylation|signal transduction by protein phosphorylation|immune response|I-kappaB kinase/NF-kappaB signaling|positive regulation of I-kappaB kinase/NF-kappaB signaling|MAPK cascade|cellular response to mechanical stimulus|tumor necrosis factor-mediated signaling pathway|fibrillar center|NIK/NF-kappaB signaling|actin cytoskeleton organization|MAP kinase kinase kinase activity|activation of MAPKK activity|T cell costimulation|signal transducer, downstream of receptor, with serine/threonine kinase activity|NF-kappaB-inducing kinase activity"
"ENSG00000006071","11",17392885,17476845,83961,83961,"protein_coding","plasma membrane|membrane|integral component of membrane|nucleotide binding|potassium channel activity|ATP binding|sulfonylurea receptor activity|ATP-activated inward rectifier potassium channel activity|ATPase activity|ATPase activity, coupled to transmembrane movement of substances|ATPase-coupled anion transmembrane transporter activity|ion channel binding|transport|potassium ion transport|signal transduction|response to drug|regulation of insulin secretion|transmembrane transport|potassium ion transmembrane transport|ATP hydrolysis coupled anion transmembrane transport|voltage-gated potassium channel complex|ATP-sensitive potassium channel complex|sarcolemma|syntaxin binding|response to pH|response to zinc ion|response to lipopolysaccharide|response to insulin|positive regulation of potassium ion transport|negative regulation of insulin secretion|cellular response to organic substance|synaptic vesicle membrane"
"ENSG00000006116","16",24255553,24362801,107249,107249,"protein_coding","plasma membrane|membrane|integral component of membrane|transport|ion transport|endocytic vesicle membrane|calcium ion transmembrane transport|calcium ion transport|voltage-gated ion channel activity|regulation of ion transmembrane transport|calcium channel activity|regulation of AMPA receptor activity|voltage-gated calcium channel activity|cardiac conduction|voltage-gated calcium channel complex|AMPA glutamate receptor complex|transmission of nerve impulse|channel regulator activity"
"ENSG00000006118","11",60924463,60937159,12697,12690,"protein_coding","membrane|integral component of membrane|extracellular exosome|Golgi apparatus|Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|molecular_function|biological_process"
"ENSG00000006125","17",35578046,35726409,148364,148364,"protein_coding","plasma membrane|membrane|protein binding|cytoplasm|cytosol|transport|intracellular protein transport|endocytosis|protein transport|heart development|trans-Golgi network|ephrin receptor signaling pathway|receptor-mediated endocytosis|endocytic vesicle membrane|membrane coat|vesicle-mediated transport|clathrin binding|ventricular septum development|aorta development|coronary vasculature development|protein complex binding|clathrin adaptor complex|antigen processing and presentation of exogenous peptide antigen via MHC class II|regulation of defense response to virus by virus|clathrin-coated endocytic vesicle membrane|cardiac septum development|membrane organization|protein transporter activity|AP-2 adaptor complex|clathrin adaptor activity|microtubule-based movement|clathrin coat assembly|Wnt signaling pathway, planar cell polarity pathway|clathrin-dependent endocytosis|clathrin-coated pit|endolysosome membrane|signal sequence binding|clathrin coat|neurotransmitter receptor internalization"
"ENSG00000006128","7",97731908,97740472,8565,8565,"protein_coding","plasma membrane|neuronal cell body|response to lipopolysaccharide|inflammatory response|extracellular region|extracellular space|cell-cell signaling|response to hormone|axon|chemical synaptic transmission|regulation of blood pressure|neuropeptide signaling pathway|long-term memory|positive regulation of stress fiber assembly|positive regulation of cytosolic calcium ion concentration|cellular response to nerve growth factor stimulus|positive regulation of epithelial cell migration|positive regulation of acute inflammatory response|negative regulation of heart rate|sensory perception of pain|positive regulation of renal sodium excretion|detection of abiotic stimulus|response to morphine|tachykinin receptor signaling pathway|substance P receptor binding|insemination|associative learning|positive regulation of synaptic transmission, cholinergic|positive regulation of synaptic transmission, GABAergic|positive regulation of action potential|positive regulation of ossification|positive regulation of saliva secretion|response to pain|positive regulation of lymphocyte proliferation|positive regulation of corticosterone secretion"
"ENSG00000006194","16",3263800,3301401,37602,37602,"protein_coding","protein binding|nucleus|metal ion binding|nucleic acid binding|regulation of transcription, DNA-templated|transcription, DNA-templated|negative regulation of transcription, DNA-templated|DNA binding|transcription factor activity, sequence-specific DNA binding|intracellular"
"ENSG00000006210","16",57372458,57385048,12591,12591,"protein_coding","cell adhesion|plasma membrane|membrane|integral component of membrane|protein binding|positive regulation of GTPase activity|positive regulation of ERK1 and ERK2 cascade|cell surface|immune response|G-protein coupled receptor signaling pathway|defense response|extracellular region|positive regulation of angiogenesis|cellular response to tumor necrosis factor|extracellular space|positive regulation of transforming growth factor beta1 production|cytokine-mediated signaling pathway|negative regulation of cell migration|integrin binding|negative regulation of extrinsic apoptotic signaling pathway in absence of ligand|receptor binding|cytokine activity|chemokine activity|CCR chemokine receptor binding|monocyte chemotaxis|chemotaxis|neutrophil chemotaxis|lymphocyte chemotaxis|chemokine-mediated signaling pathway|cellular response to interferon-gamma|cellular response to interleukin-1|cell chemotaxis|wound healing|leukocyte migration involved in inflammatory response|positive regulation of inflammatory response|angiogenesis involved in wound healing|integrin activation|leukocyte adhesive activation|CX3C chemokine receptor binding|leukocyte chemotaxis|positive regulation of calcium-independent cell-cell adhesion"
"ENSG00000006282","17",50543058,50555852,12795,8764,"protein_coding","catalytic activity|cell differentiation|multicellular organism development|spermatogenesis|extracellular region"
"ENSG00000006283","17",50561068,50627474,66407,66407,"protein_coding","plasma membrane|membrane|integral component of membrane|cytoplasm|transport|transmembrane transport|ion transmembrane transport|ion transport|calcium ion transmembrane transport|calcium ion transport|chemical synaptic transmission|regulation of heart rate|regulation of membrane potential|positive regulation of calcium ion-dependent exocytosis|ion channel activity|voltage-gated ion channel activity|regulation of ion transmembrane transport|scaffold protein binding|regulation of heart rate by cardiac conduction|sodium ion transmembrane transport|calcium channel activity|regulation of postsynaptic membrane potential|voltage-gated sodium channel activity|neuronal action potential|membrane depolarization during action potential|voltage-gated calcium channel activity|voltage-gated calcium channel complex|calcium ion import|action potential|cardiac muscle cell action potential involved in contraction|low voltage-gated calcium channel activity|voltage-gated calcium channel activity involved in AV node cell action potential|voltage-gated calcium channel activity involved SA node cell action potential|SA node cell action potential|AV node cell action potential|SA node cell to atrial cardiac muscle cell signalling|AV node cell to bundle of His cell signaling|membrane depolarization during AV node cell action potential|membrane depolarization during SA node cell action potential|response to nickel cation|regulation of atrial cardiac muscle cell membrane depolarization"
"ENSG00000006327","16",3018445,3022383,3939,3939,"protein_coding","cell adhesion|plasma membrane|membrane|integral component of membrane|protein binding|ruffle|cell surface|apoptotic process|cell differentiation|multicellular organism development|positive regulation of apoptotic process|extrinsic apoptotic signaling pathway|tumor necrosis factor-mediated signaling pathway|angiogenesis|regulation of angiogenesis|positive regulation of axon extension|positive regulation of extrinsic apoptotic signaling pathway|substrate-dependent cell migration, cell attachment to substrate|regulation of wound healing"
"ENSG00000006377","7",97005548,97011039,5492,5492,"protein_coding","nervous system development|nucleus|regulation of transcription, DNA-templated|DNA binding|transcription factor activity, sequence-specific DNA binding|sequence-specific DNA binding|multicellular organism development|positive regulation of epithelial cell proliferation|skeletal system development|head development|palate development|inner ear morphogenesis|anatomical structure formation involved in morphogenesis|epithelial cell differentiation|embryonic limb morphogenesis"
"ENSG00000006432","14",70722526,70809534,87009,87009,"protein_coding","protein binding|cytoplasm|nucleotide binding|ATP binding|transferase activity|kinase activity|phosphorylation|regulation of transcription, DNA-templated|apoptotic process|cellular_component|protein kinase activity|protein serine/threonine kinase activity|protein homodimerization activity|protein phosphorylation|protein autophosphorylation|transcription, DNA-templated|intracellular|protein tyrosine kinase activity|peptidyl-tyrosine phosphorylation|MAPK cascade|positive regulation of apoptotic process|cell death|MAP kinase kinase kinase activity|activation of MAPKK activity|activation of JUN kinase activity|MAP kinase kinase activity|JUN kinase kinase kinase activity|activation of JNKK activity"
"ENSG00000006451","7",39623483,39708124,84642,84642,"protein_coding","plasma membrane|membrane|protein binding|cell cycle|cell division|nucleotide binding|signal transduction|extracellular exosome|viral process|focal adhesion|cell surface|midbody|myelin sheath|intracellular|ubiquitin protein ligase binding|cytoplasmic vesicle membrane|myosin binding|actin cytoskeleton reorganization|ATPase binding|small GTPase mediated signal transduction|Ras protein signal transduction|neural tube closure|GTPase activity|GTP binding|exocytosis|cytokinesis|cleavage furrow|membrane organization|chemotaxis|endocytic vesicle|GDP binding|regulation of exocytosis|positive regulation of filopodium assembly|Edg-2 lysophosphatidic acid receptor binding|membrane raft localization"
"ENSG00000006453","7",98291651,98401068,109418,109418,"protein_coding","plasma membrane|protein binding|cytoplasm|cytosol|cytoskeleton|actin cytoskeleton|nucleoplasm|extracellular exosome|actin binding|response to bacterium|insulin receptor signaling pathway|cell-cell adherens junction|positive regulation of actin cytoskeleton reorganization|positive regulation of actin filament polymerization|regulation of insulin receptor signaling pathway|regulation of actin filament polymerization|actin filament bundle assembly|proline-rich region binding|plasma membrane organization|cell-cell adhesion|actin crosslink formation|cadherin binding involved in cell-cell adhesion"
"ENSG00000006459","7",140084746,140177035,92290,92290,"protein_coding","nervous system development|nucleus|metal ion binding|nucleoplasm|nucleolus|regulation of transcription, DNA-templated|zinc ion binding|oxidation-reduction process|oxidoreductase activity|transcription, DNA-templated|positive regulation of transcription, DNA-templated|methylated histone binding|covalent chromatin modification|iron ion binding|histone demethylase activity|dioxygenase activity|histone demethylase activity (H3-K36 specific)|histone H3-K36 demethylation|histone demethylase activity (H3-K9 specific)|histone H3-K9 demethylation|midbrain development|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors|histone demethylase activity (H4-K20 specific)|histone demethylase activity (H3-K27 specific)|histone H4-K20 demethylation|histone H3-K27 demethylation"
"ENSG00000006468","7",13891228,13991425,100198,100198,"protein_coding","protein binding|nucleus|regulation of transcription, DNA-templated|transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|DNA binding|transcription factor activity, sequence-specific DNA binding|sequence-specific DNA binding|transcription from RNA polymerase II promoter|positive regulation of transcription, DNA-templated|axon guidance|transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding|RNA polymerase II core promoter proximal region sequence-specific DNA binding|muscle organ development|mechanosensory behavior|peripheral nervous system neuron development"
"ENSG00000006530","7",141551189,141655244,104056,104056,"protein_coding","membrane|cytosol|nucleotide binding|ATP binding|transferase activity|kinase activity|metabolic process|phosphorylation|mitochondrion|intracellular membrane-bounded organelle|mitochondrial outer membrane|lipid phosphorylation|ceramide biosynthetic process|NAD+ kinase activity|ceramide kinase activity|lipid kinase activity|diacylglycerol kinase activity|acylglycerol kinase activity|long-chain fatty-acyl-CoA biosynthetic process|glycerolipid metabolic process|mitochondrial membrane"
"ENSG00000006534","11",68008578,68029282,20705,20699,"protein_coding","plasma membrane|membrane|protein binding|cytoplasm|metabolic process|extracellular exosome|sphingolipid biosynthetic process|neutrophil degranulation|specific granule membrane|oxidation-reduction process|oxidoreductase activity|cellular response to oxidative stress|lipid metabolic process|vesicle|cellular aldehyde metabolic process|oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor|aldehyde dehydrogenase [NAD(P)+] activity|3-chloroallyl aldehyde dehydrogenase activity|alcohol metabolic process|ethanol catabolic process|aldehyde catabolic process|secretory granule membrane"
"ENSG00000006555","1",54779712,54801267,21556,21556,"protein_coding",NA
"ENSG00000006576","7",77798792,77957503,158712,158712,"protein_coding","nucleus|regulation of transcription, DNA-templated|endoplasmic reticulum|transcription, DNA-templated|DNA binding"
"ENSG00000006606","7",75769533,75789896,20364,20364,"protein_coding","signal transduction|positive regulation of GTPase activity|positive regulation of ERK1 and ERK2 cascade|inflammatory response|response to organonitrogen compound|immune response|G-protein coupled receptor signaling pathway|extracellular region|cellular response to tumor necrosis factor|extracellular space|cell-cell signaling|positive regulation of cell migration|cytokine activity|positive regulation of actin filament polymerization|chemokine activity|CCR chemokine receptor binding|positive regulation of endothelial cell proliferation|monocyte chemotaxis|chemotaxis|neutrophil chemotaxis|lymphocyte chemotaxis|chemokine-mediated signaling pathway|cellular response to interferon-gamma|cellular response to interleukin-1"
"ENSG00000006607","2",241356243,241494841,138599,138599,"protein_coding","cell adhesion|cytoplasm|cytosol|cytoskeleton|positive regulation of GTPase activity|guanyl-nucleotide exchange factor activity|Rho guanyl-nucleotide exchange factor activity|Rac guanyl-nucleotide exchange factor activity|regulation of Rho protein signal transduction|osteoclast differentiation|extrinsic component of membrane|neuron remodeling|actin cytoskeleton reorganization|cytoskeletal protein binding|semaphorin-plexin signaling pathway|hair cycle process|Rac protein signal transduction|regulation of integrin activation|podosome assembly"
"ENSG00000006611","11",17493895,17544416,50522,50522,"protein_coding","protein binding|cytoplasm|cytosol|cytoskeleton|cell projection|microvillus|apical part of cell|cell differentiation|actin filament binding|sensory perception of sound|photoreceptor cell maintenance|sensory perception of light stimulus|G2/M transition of mitotic cell cycle|stereocilium|brush border|regulation of microvillus length|spectrin binding|cellular protein complex assembly|equilibrioception|protein localization to microvillus|brush border assembly"
"ENSG00000006625","7",30496621,30504844,8224,8224,"protein_coding","cytosol|transferase activity|extracellular exosome|protein homodimerization activity|release of cytochrome c from mitochondria|transferase activity, transferring acyl groups|glutathione biosynthetic process|gamma-glutamylcyclotransferase activity"
"ENSG00000006634","7",87876216,87909541,33326,33313,"protein_coding","protein binding|cell cycle|nucleus|metal ion binding|nucleic acid binding|nucleoplasm|zinc ion binding|DNA replication|G1/S transition of mitotic cell cycle|positive regulation of catalytic activity|enzyme activator activity"
"ENSG00000006638","19",3594506,3606840,12335,12335,"protein_coding","plasma membrane|membrane|integral component of membrane|protein binding|signal transduction|response to drug|positive regulation of GTPase activity|guanyl-nucleotide exchange factor activity|signal transducer activity|integral component of plasma membrane|response to ethanol|G-protein coupled receptor signaling pathway|positive regulation of angiogenesis|cellular response to lipopolysaccharide|response to testosterone|G-protein coupled receptor activity|nuclear speck|acrosomal vesicle|positive regulation of cytosolic calcium ion concentration|response to nutrient|positive regulation of vasoconstriction|thromboxane receptor activity|thromboxane A2 receptor activity|thromboxane A2 signaling pathway|positive regulation of blood pressure|positive regulation of blood coagulation"
"ENSG00000006652","7",112422968,112481017,58050,58050,"protein_coding","nucleus|cytoplasm|cell differentiation|multicellular organism development|negative regulation of axon extension|negative regulation of collateral sprouting|skeletal muscle tissue regeneration|myoblast fate determination|muscle cell differentiation|striated muscle tissue development"
"ENSG00000006659","19",39704306,39709444,5139,5139,"protein_coding","protein binding|nucleus|apoptotic process|carbohydrate binding|positive regulation of T cell apoptotic process"
"ENSG00000006695","17",14069496,14208677,139182,139182,"protein_coding","membrane|integral component of membrane|cytosol|transferase activity|nucleolus|mitochondrion|mitochondrial inner membrane|mitochondrial membrane|heme biosynthetic process|aerobic respiration|mitochondrial fission|mitochondrion organization|hydrogen ion transmembrane transport|cellular respiration|cytochrome-c oxidase activity|mitochondrial electron transport, cytochrome c to oxygen|heme a biosynthetic process|respiratory chain complex IV assembly|cytochrome complex|cytochrome complex assembly|farnesyltranstransferase activity|protoheme IX farnesyltransferase activity|transferase activity, transferring alkyl or aryl (other than methyl) groups|heme O biosynthetic process"
"ENSG00000006704","7",74453790,74602604,148815,148815,"protein_coding","nucleus|cytoplasm|cytosol|regulation of transcription from RNA polymerase II promoter|nucleoplasm|regulation of transcription, DNA-templated|transcription, DNA-templated|DNA binding|transcription factor activity, sequence-specific DNA binding|multicellular organism development|RNA polymerase II transcription factor activity, sequence-specific DNA binding|transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding|transition between slow and fast fiber"
"ENSG00000006712","19",39385852,39391195,5344,5344,"protein_coding","membrane|cell junction|protein binding|nucleus|cytoplasm|mRNA polyadenylation|nucleoplasm|regulation of transcription, DNA-templated|protein ubiquitination|negative regulation of transcription from RNA polymerase II promoter|stem cell population maintenance|chromatin binding|transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|transcription from RNA polymerase II promoter|Wnt signaling pathway|cellular response to lipopolysaccharide|transcription elongation from RNA polymerase II promoter|nucleosome positioning|protein localization to nucleus|positive regulation of histone methylation|RNA polymerase II core binding|Cdc73/Paf1 complex|histone modification|endodermal cell fate commitment|histone monoubiquitination|positive regulation of mRNA 3'-end processing|positive regulation of transcription elongation from RNA polymerase II promoter|histone H2B ubiquitination|negative regulation of myeloid cell differentiation"
"ENSG00000006715","7",38722963,38932394,209432,209432,"protein_coding","membrane|protein binding|metal ion binding|transport|zinc ion binding|Golgi apparatus|identical protein binding|autophagy|intracellular protein transport|intracellular|protein transport|endosome|endosome membrane|cytoplasmic vesicle|early endosome|lysosomal membrane|AP-3 adaptor complex|vesicle-mediated transport|lysosome|microtubule binding|microtubule cytoskeleton|late endosome|late endosome membrane|clathrin-coated vesicle|endosome to lysosome transport|GTPase binding|protein self-association|clathrin complex|protein targeting to vacuole|endosomal vesicle fusion|regulation of SNARE complex assembly|vacuole fusion, non-autophagic|regulated exocytosis|late endosome to lysosome transport|Golgi-associated vesicle|HOPS complex|CORVET complex"
"ENSG00000006740","17",12789539,12991643,202105,202105,"protein_coding","cell junction|synapse|protein binding|cytoplasm|cytosol|signal transduction|cell projection|positive regulation of GTPase activity|phospholipid binding|GTPase activator activity|regulation of GTPase activity|endosome|recycling endosome|dendritic spine|exocytosis|regulation of actin cytoskeleton organization|regulation of small GTPase mediated signal transduction|Rac GTPase binding|leading edge membrane|neurotransmitter receptor transport, endosome to postsynaptic membrane|negative regulation of Rac protein signal transduction|regulation of dendritic spine morphogenesis|modification of dendritic spine"
"ENSG00000006744","17",12992391,13018187,25797,25797,"protein_coding","nucleus|metal ion binding|RNA binding|nucleoplasm|endonuclease activity|hydrolase activity|mitochondrion|tRNA processing|mitochondrial matrix|nuclease activity|mitochondrial nucleoid|tRNA 3'-end processing|mitochondrial tRNA processing|tRNA-specific ribonuclease activity|3'-tRNA processing endoribonuclease activity|mitochondrial tRNA 3'-trailer cleavage, endonucleolytic"
"ENSG00000006747","7",12570577,12660179,89603,89494,"protein_coding","cell junction|cytoplasm|cytoskeleton|calcium ion binding|metal ion binding|cell projection|extracellular exosome|negative regulation of cell proliferation|actin filament binding|actin binding|cell cortex|protein complex|actin filament capping|positive regulation of apoptotic process|phosphatidylinositol-4,5-bisphosphate binding|phosphatidylserine binding|calcium ion regulated exocytosis|podosome|positive regulation of megakaryocyte differentiation|1-phosphatidylinositol binding|brush border|regulation of chondrocyte differentiation|sequestering of actin monomers|actin nucleation|actin filament severing|positive regulation of secretion|positive regulation of actin nucleation"
"ENSG00000006756","X",2903970,2929351,25382,25382,"protein_coding","membrane|integral component of membrane|metal ion binding|catalytic activity|hydrolase activity|metabolic process|extracellular exosome|endoplasmic reticulum lumen|lysosome|glycosphingolipid metabolic process|post-translational protein modification|sulfuric ester hydrolase activity|arylsulfatase activity"
"ENSG00000006757","X",7898247,7927739,29493,29493,"protein_coding","membrane|cytosol|hydrolase activity|metabolic process|mitochondrion|cellular_component|molecular_function|biological_process|lipid metabolic process|lipid particle|cellular lipid metabolic process|lipid catabolic process|triglyceride catabolic process|retinol metabolic process|retinyl-palmitate esterase activity|triglyceride lipase activity|lipid homeostasis"
"ENSG00000006788","17",10298084,10373130,75047,75047,"protein_coding","cytoplasm|nucleotide binding|ATP binding|extracellular exosome|muscle contraction|actin binding|calmodulin binding|cellular response to starvation|myosin complex|motor activity|myofibril|myosin filament|microfilament motor activity|muscle myosin complex"
"ENSG00000006831","12",1688574,1788678,100105,97652,"protein_coding","plasma membrane|membrane|integral component of membrane|metal ion binding|receptor activity|identical protein binding|G-protein coupled receptor signaling pathway|heart development|lipid metabolic process|fatty acid metabolic process|glucose homeostasis|protein heterodimerization activity|positive regulation of glucose import|response to nutrient|female pregnancy|vascular wound healing|adiponectin binding|adipokinetic hormone receptor activity|hormone-mediated signaling pathway|fatty acid oxidation|negative regulation of cell growth|adiponectin-activated signaling pathway|regulation of fatty acid biosynthetic process|intrinsic component of plasma membrane"
"ENSG00000006837","5",134286350,134371047,84698,72623,"protein_coding","protein binding|nucleus|cytoplasm|nucleotide binding|ATP binding|transferase activity|kinase activity|phosphorylation|protein kinase activity|protein serine/threonine kinase activity|protein phosphorylation|regulation of cell cycle|cyclin-dependent protein serine/threonine kinase activity|cellular protein modification process|negative regulation of axon extension|positive regulation of dendrite morphogenesis|dendrite extension"
"ENSG00000007001","2",157876702,158136154,259453,259453,"protein_coding","protein binding|cytoplasm|cytosol|transferase activity|catalytic activity|transferase activity, transferring glycosyl groups|uridine phosphorylase activity|transferase activity, transferring pentosyl groups|nucleoside metabolic process|nucleotide catabolic process|pyrimidine nucleoside salvage|UMP salvage|uridine metabolic process|pyrimidine nucleoside catabolic process|type III intermediate filament"
"ENSG00000007038","16",2817180,2826304,9125,4540,"protein_coding","plasma membrane|membrane|protein binding|cytoplasm|hydrolase activity|spermatogenesis|extracellular region|C-terminal protein lipidation|anchored component of membrane|peptidase activity|proteolysis|serine-type endopeptidase activity|serine-type peptidase activity"
"ENSG00000007047","19",45079288,45305283,225996,225996,"protein_coding","nervous system development|protein binding|cell cycle|mitotic nuclear division|cell division|cytoplasm|centrosome|microtubule organizing center|cytosol|cytoskeleton|nucleotide binding|ATP binding|transferase activity|cell projection|kinase activity|phosphorylation|positive regulation of cell proliferation|protein kinase activity|protein serine/threonine kinase activity|protein phosphorylation|ubiquitin binding|microtubule|ciliary basal body|Wnt signaling pathway|tau-protein kinase activity|microtubule cytoskeleton organization|establishment of cell polarity|neuron projection|cell projection organization|G2/M transition of mitotic cell cycle|ciliary basal body docking|G1/S transition of mitotic cell cycle|microtubule binding|microtubule cytoskeleton|microtubule bundle formation|gamma-tubulin binding|positive regulation of programmed cell death|gamma-tubulin complex"
"ENSG00000007062","4",15963076,16084378,121303,116153,"protein_coding","plasma membrane|membrane|integral component of membrane|protein binding|cell projection|extracellular exosome|cell surface|endoplasmic reticulum|integral component of plasma membrane|apical plasma membrane|microvillus membrane|cadherin binding|extracellular space|photoreceptor cell maintenance|photoreceptor outer segment|cilium|vesicle|retina layer formation|endoplasmic reticulum-Golgi intermediate compartment|camera-type eye photoreceptor cell differentiation|photoreceptor outer segment membrane|actinin binding|retina morphogenesis in camera-type eye|glomerular visceral epithelial cell differentiation|glomerular parietal epithelial cell differentiation|positive regulation of nephron tubule epithelial cell differentiation"
"ENSG00000007080","19",17933016,17943991,10976,10976,"protein_coding","cell cycle|cell division|cytoplasm|microtubule organizing center|cytoskeleton|RNA binding|midbody"
"ENSG00000007129","19",41549518,41586844,37327,37327,"protein_coding","membrane|integral component of membrane"
"ENSG00000007168","17",2593210,2685615,92406,92406,"protein_coding","nervous system development|membrane|neuronal cell body|kinetochore|protein binding|cell cycle|sister chromatid cohesion|mitotic nuclear division|cell division|nucleus|cytoplasm|centrosome|microtubule organizing center|spindle|cytosol|cytoskeleton|transport|extracellular exosome|protein homodimerization activity|nuclear membrane|cell differentiation|microtubule|growth cone|perinuclear region of cytoplasm|cerebral cortex development|adult locomotory behavior|multicellular organism development|regulation of GTPase activity|cell cortex|acrosome assembly|cell migration|lipid metabolic process|neuromuscular process controlling balance|dynein complex binding|nuclear envelope|axon|brain development|microtubule associated complex|microtubule cytoskeleton organization|neuron migration|establishment of mitotic spindle orientation|neuron projection|chemical synaptic transmission|G2/M transition of mitotic cell cycle|ciliary basal body docking|motile cilium|axon cytoplasm|maintenance of centrosome location|brain morphogenesis|stereocilium|heparin binding|regulation of microtubule cytoskeleton organization|cochlea development|vesicle|protein complex binding|actin cytoskeleton organization|positive regulation of mitotic cell cycle|negative regulation of neuron projection development|hippocampus development|positive regulation of axon extension|microtubule-based process|neuroblast proliferation|microtubule binding|microtubule cytoskeleton|lipid catabolic process|germ cell development|negative regulation of JNK cascade|phospholipase binding|auditory receptor cell development|phosphoprotein binding|cell leading edge|kinesin complex|transmission of nerve impulse|positive regulation of cytokine-mediated signaling pathway|microtubule organizing center organization|cortical microtubule organization|establishment of centrosome localization|positive regulation of dendritic spine morphogenesis|nuclear migration|vesicle transport along microtubule|regulation of microtubule motor activity|learning or memory|stem cell division|layer formation in cerebral cortex|protein secretion|phospholipase A2 activity|nuclear envelope disassembly|dynactin binding|dynein intermediate chain binding|ameboidal-type cell migration|retrograde axonal transport|corpus callosum morphogenesis|cerebral cortex neuron differentiation|osteoclast development|positive regulation of embryonic development|establishment of planar polarity of embryonic epithelium|platelet activating factor metabolic process|positive regulation of cellular component organization|microtubule cytoskeleton organization involved in establishment of planar polarity|astral microtubule"
"ENSG00000007171","17",27756766,27800499,43734,43734,"protein_coding","protein binding|nucleus|cytoplasm|cytosol|metal ion binding|regulation of insulin secretion|response to lipopolysaccharide|protein homodimerization activity|oxidation-reduction process|oxidoreductase activity|flavin adenine dinucleotide binding|negative regulation of protein catabolic process|perinuclear region of cytoplasm|intracellular|regulation of cell proliferation|response to bacterium|peroxisome|negative regulation of gene expression|defense response to bacterium|cellular response to lipopolysaccharide|heme binding|superoxide metabolic process|response to hypoxia|calmodulin binding|positive regulation of guanylate cyclase activity|negative regulation of blood pressure|receptor binding|circadian rhythm|cellular response to interferon-gamma|NADP binding|defense response to Gram-negative bacterium|cell redox homeostasis|cortical cytoskeleton|NADPH-hemoprotein reductase activity|nitric-oxide synthase activity|FMN binding|tetrahydrobiopterin binding|arginine binding|positive regulation of leukocyte mediated cytotoxicity|innate immune response in mucosa|arginine catabolic process|nitric oxide biosynthetic process|nitric oxide mediated signal transduction|peptidyl-cysteine S-nitrosylation|prostaglandin secretion|cellular response to drug|regulation of cellular respiration|positive regulation of killing of cells of other organism|interleukin-6 secretion|interleukin-8 secretion|regulation of cytokine production involved in inflammatory response"
"ENSG00000007174","17",11598431,11969748,371318,371318,"protein_coding","cytoplasm|cytoskeleton|nucleotide binding|ATP binding|ATPase activity|cell projection|microtubule|microtubule motor activity|cell projection organization|cilium|axoneme|motor activity|microtubule-based movement|dynein complex|cilium movement"
"ENSG00000007202","17",28614440,28645454,31015,31015,"protein_coding","protein binding|extracellular region"
"ENSG00000007216","17",28473293,28497781,24489,24489,"protein_coding","plasma membrane|membrane|integral component of membrane|transport|transmembrane transport|extracellular exosome|integral component of plasma membrane|ion transport|transporter activity|sodium ion transport|symporter activity|low-affinity sodium:dicarboxylate symporter activity|dicarboxylic acid transport|anion transmembrane transport"
"ENSG00000007237","17",9910609,10198551,287943,287943,"protein_coding","nervous system development|protein binding|cytoplasm|regulation of transcription, DNA-templated|cell differentiation|transcription factor activity, sequence-specific DNA binding|multicellular organism development|cell cycle arrest"
"ENSG00000007255","19",45162928,45178237,15310,15310,"protein_coding","protein binding|cytosol|transport|positive regulation of GTPase activity|Golgi apparatus|Golgi membrane|endoplasmic reticulum|trans-Golgi network|ER to Golgi vesicle-mediated transport|vesicle-mediated transport|cis-Golgi network|membrane organization|COPII vesicle coating|pigmentation|Rab guanyl-nucleotide exchange factor activity|TRAPP complex|melanosome assembly"
"ENSG00000007264","19",3777970,3802129,24160,24160,"protein_coding","membrane|protein binding|cytoplasm|cytosol|nucleotide binding|ATP binding|transferase activity|kinase activity|phosphorylation|innate immune response|positive regulation of cell proliferation|protein kinase activity|protein phosphorylation|cell differentiation|transmembrane receptor protein tyrosine kinase signaling pathway|cell proliferation|protein tyrosine kinase activity|peptidyl-tyrosine phosphorylation|non-membrane spanning protein tyrosine kinase activity|peptidyl-tyrosine autophosphorylation|extrinsic component of cytoplasmic side of plasma membrane|receptor binding|mesoderm development|ERBB2 signaling pathway"
"ENSG00000007306","19",41673307,41706976,33670,15061,"protein_coding","plasma membrane|membrane|integral component of membrane|extracellular region|C-terminal protein lipidation|anchored component of membrane"
